,file_name,extension,update_stamp,full_path,source
19,Ji-2022-Clinical trials of stem cell-based the.pdf,pdf,2022-07-25 12:38:33,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/3456866951/Ji-2022-Clinical trials of stem cell-based the.pdf,dropbox
20,Wu-2022-Soldier Caste-Specific Protein 1 Is In.pdf,pdf,2023-01-04 11:46:52,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/0309198986/Wu-2022-Soldier Caste-Specific Protein 1 Is In.pdf,dropbox
21,di Martino-2022-Incidence trends for twelve ca.pdf,pdf,2023-01-04 11:37:19,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/1335354339/di Martino-2022-Incidence trends for twelve ca.pdf,dropbox
22,Huang-2022-Metformin activates Wnt_beta-cateni.pdf,pdf,2023-01-04 11:47:34,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/3439037745/Huang-2022-Metformin activates Wnt_beta-cateni.pdf,dropbox
23,Fujibayashi-2022-LATS kinases and SLUG regulat.pdf,pdf,2022-07-25 12:37:08,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/2407636607/Fujibayashi-2022-LATS kinases and SLUG regulat.pdf,dropbox
24,Asad Zadeh Vost-2022-Biomarker Testing Pattern.pdf,pdf,2022-07-25 18:01:47,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/4204148803/Asad Zadeh Vost-2022-Biomarker Testing Pattern.pdf,dropbox
25,Kalbas-2022-A retrospective cohort study of 27.pdf,pdf,2023-01-04 11:20:52,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/0943947738/Kalbas-2022-A retrospective cohort study of 27.pdf,dropbox
26,Sabaj-Diez-2022-[Dr. Juan Noe and the birth of.pdf,pdf,2022-07-25 12:49:14,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/2059344234/Sabaj-Diez-2022-[Dr. Juan Noe and the birth of.pdf,dropbox
27,Parnikh-2022-A Study of the Relationship betwe.pdf,pdf,2022-07-25 12:48:14,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/1007277217/Parnikh-2022-A Study of the Relationship betwe.pdf,dropbox
28,Sharma-2022-Relationship between gene expressi.pdf,pdf,2022-07-25 12:49:22,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/4130428730/Sharma-2022-Relationship between gene expressi.pdf,dropbox
29,Amin-2022-Health-related quality of life score.pdf,pdf,2023-01-04 11:43:09,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/1402961681/Amin-2022-Health-related quality of life score.pdf,dropbox
30,Lopez-Cortes-2022-The close interaction betwee.pdf,pdf,2023-01-04 11:49:13,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/2059344233/Lopez-Cortes-2022-The close interaction betwee.pdf,dropbox
31,Dhillon-2022-Umbilical Cord-Derived Stem Cells.pdf,pdf,2022-07-25 12:25:58,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/1395235128/Dhillon-2022-Umbilical Cord-Derived Stem Cells.pdf,dropbox
32,Giannone-2022-Atrial Fibrillation and the Risk.pdf,pdf,2022-07-25 12:37:19,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/0349517445/Giannone-2022-Atrial Fibrillation and the Risk.pdf,dropbox
33,Lessans-2022-The effect of BNT162b2 SARS-CoV-2.pdf,pdf,2022-07-25 12:40:04,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/4013483729/Lessans-2022-The effect of BNT162b2 SARS-CoV-2.pdf,dropbox
34,de Nola-2022-Dimerization of kringle 1 domain.pdf,pdf,2023-01-04 11:42:57,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/3651368885/de Nola-2022-Dimerization of kringle 1 domain.pdf,dropbox
35,Chen-2022-Clinical Evaluation of Autologous an.pdf,pdf,2022-07-25 12:25:42,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/1244316437/Chen-2022-Clinical Evaluation of Autologous an.pdf,dropbox
36,Ibnidris-2022-Evaluating measurement propertie.pdf,pdf,2022-07-25 12:38:18,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/4005446152/Ibnidris-2022-Evaluating measurement propertie.pdf,dropbox
37,"Wilairatana-2021-Prevalence, probability, and.pdf",pdf,2023-01-04 11:21:19,"/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/2260289379/Wilairatana-2021-Prevalence, probability, and.pdf",dropbox
38,Sung-2022-Failure to initiate trauma team acti.pdf,pdf,2022-07-25 12:50:16,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/2229656757/Sung-2022-Failure to initiate trauma team acti.pdf,dropbox
39,Arntz-2022-Effect of Plyometric Jump Training.pdf,pdf,2022-07-25 12:23:36,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/3006968069/Arntz-2022-Effect of Plyometric Jump Training.pdf,dropbox
40,Kataria-2022-Oral Tegafur-Uracil Combination p.pdf,pdf,2022-07-25 12:38:55,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/0661761152/Kataria-2022-Oral Tegafur-Uracil Combination p.pdf,dropbox
41,Corkey-2021-What Regulates Basal Insulin Secre.pdf,pdf,2023-01-04 11:38:27,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/2534935306/Corkey-2021-What Regulates Basal Insulin Secre.pdf,dropbox
42,Zhang-2022-Mitochondria-Targeting Polymer Mice.pdf,pdf,2023-01-12 17:10:14,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/3172686007/Zhang-2022-Mitochondria-Targeting Polymer Mice.pdf,dropbox
43,van der Velde-2022-Performance of the APOP-scr.pdf,pdf,2022-07-25 12:51:18,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/4023125540/van der Velde-2022-Performance of the APOP-scr.pdf,dropbox
44,Tsai-2021-MET D1228N and D1246N are the Same R.pdf,pdf,2022-08-03 17:09:12,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/2044897762/Tsai-2021-MET D1228N and D1246N are the Same R.pdf,dropbox
45,Shere-2022-Systematic review of the associatio.pdf,pdf,2022-07-25 12:49:30,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/1862875640/Shere-2022-Systematic review of the associatio.pdf,dropbox
46,Vilela-2022-Cardiopulmonary resuscitation for.pdf,pdf,2022-07-25 12:51:13,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/0305197314/Vilela-2022-Cardiopulmonary resuscitation for.pdf,dropbox
47,Wang-2022-Identification of a Novel Risk Model.pdf,pdf,2023-01-04 11:41:27,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/1253207671/Wang-2022-Identification of a Novel Risk Model.pdf,dropbox
48,Truchot-2021-Stressors met by quarantined Fren.pdf,pdf,2022-08-03 17:09:07,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/3172686009/Truchot-2021-Stressors met by quarantined Fren.pdf,dropbox
49,Ismaila-2022-Comparative Efficacy of Umeclidin.pdf,pdf,2022-07-25 12:38:24,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/0110613202/Ismaila-2022-Comparative Efficacy of Umeclidin.pdf,dropbox
50,Sun-2022-Efficacy of the granisetron transderm.pdf,pdf,2023-01-04 11:20:19,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/3006968067/Sun-2022-Efficacy of the granisetron transderm.pdf,dropbox
51,Burholt-2022-Dignity and the provision of care.pdf,pdf,2022-07-25 12:25:06,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/3520709988/Burholt-2022-Dignity and the provision of care.pdf,dropbox
52,"2021-Notice of Concern_ Kawas LH, Yamamoto BJ.pdf",pdf,2022-07-25 15:35:37,"/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/3090208438/2021-Notice of Concern_ Kawas LH, Yamamoto BJ.pdf",dropbox
53,McGurk-2022-Effect of taurine administration o.pdf,pdf,2022-07-25 12:41:36,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/2860117065/McGurk-2022-Effect of taurine administration o.pdf,dropbox
54,Fasterius-2017-A novel RNA sequencing data ana.pdf,pdf,2023-01-19 03:59:46,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/3829176421/Fasterius-2017-A novel RNA sequencing data ana.pdf,dropbox
55,Borghetti-2022-Chemo-radiotherapy plus durvalu.pdf,pdf,2022-07-25 12:24:29,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/2040651434/Borghetti-2022-Chemo-radiotherapy plus durvalu.pdf,dropbox
56,Kimani-2022-Infectious disease modelling for S.pdf,pdf,2022-07-25 12:39:20,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/1192707556/Kimani-2022-Infectious disease modelling for S.pdf,dropbox
57,Zhang-2022-The Function of Nilaparvata lugens.pdf,pdf,2023-01-04 11:46:25,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/1061730689/Zhang-2022-The Function of Nilaparvata lugens.pdf,dropbox
58,Dizman-2022-Nivolumab plus ipilimumab with or.pdf,pdf,2023-01-04 11:21:01,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/2040651433/Dizman-2022-Nivolumab plus ipilimumab with or.pdf,dropbox
59,Mecca-2022-cAMP and voltage modulate rat audit.pdf,pdf,2022-07-25 12:41:52,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/4005987940/Mecca-2022-cAMP and voltage modulate rat audit.pdf,dropbox
60,Tomaszewski-2022-AI-Radiomics Can Improve Incl.pdf,pdf,2023-01-04 11:48:32,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/1007277216/Tomaszewski-2022-AI-Radiomics Can Improve Incl.pdf,dropbox
61,Monteiro Grilo-2022-Effectiveness of education.pdf,pdf,2022-07-25 12:42:09,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/1372261796/Monteiro Grilo-2022-Effectiveness of education.pdf,dropbox
62,Shen-2022-Therapeutic Strategies for Resectabl.pdf,pdf,2022-07-25 12:49:31,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/3817162910/Shen-2022-Therapeutic Strategies for Resectabl.pdf,dropbox
63,Zhou-2022-Tracheostomy decannulation protocol.pdf,pdf,2022-07-25 12:52:47,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/2724478633/Zhou-2022-Tracheostomy decannulation protocol.pdf,dropbox
64,Magnolini-2022-Fake anabolic androgenic steroi.pdf,pdf,2022-07-25 12:40:52,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/0309198987/Magnolini-2022-Fake anabolic androgenic steroi.pdf,dropbox
65,Blaquier-2022-Non-small-cell lung cancer_ how.pdf,pdf,2022-07-25 12:24:25,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/0943947739/Blaquier-2022-Non-small-cell lung cancer_ how.pdf,dropbox
66,Zeng-2021-Qihu Preparation Ameliorates Diabete.pdf,pdf,2023-01-04 11:37:51,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/2407636606/Zeng-2021-Qihu Preparation Ameliorates Diabete.pdf,dropbox
67,Yang-2022-Functionalized Ultrasmall Iron Oxide.pdf,pdf,2023-01-04 11:48:23,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/3647958409/Yang-2022-Functionalized Ultrasmall Iron Oxide.pdf,dropbox
68,Kunimasa-2022-Clinical application of comprehe.pdf,pdf,2023-01-04 11:42:06,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/3456866950/Kunimasa-2022-Clinical application of comprehe.pdf,dropbox
69,Qu-2022-3D reconstruction based novel methods.pdf,pdf,2022-07-25 12:48:45,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/0952062949/Qu-2022-3D reconstruction based novel methods.pdf,dropbox
70,Oropeza-2021-Stage-specific transcriptomic cha.pdf,pdf,2023-01-04 11:37:57,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/1704365083/Oropeza-2021-Stage-specific transcriptomic cha.pdf,dropbox
71,Gomez-Rivera-2021-Comorbid Chronic Physical Il.pdf,pdf,2022-07-25 12:37:34,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/1065311705/Gomez-Rivera-2021-Comorbid Chronic Physical Il.pdf,dropbox
72,Raisanen-2022-Antibiotic exposures and the dev.pdf,pdf,2022-07-25 12:48:47,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/2608170411/Raisanen-2022-Antibiotic exposures and the dev.pdf,dropbox
73,Maple-2022-Economic evaluation of an incentive.pdf,pdf,2022-07-25 12:41:07,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/2625518593/Maple-2022-Economic evaluation of an incentive.pdf,dropbox
74,Akashi-2022-Potential Applicability of Local R.pdf,pdf,2023-01-04 11:43:36,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/0337453825/Akashi-2022-Potential Applicability of Local R.pdf,dropbox
75,Gaborit-2022-How do general practitioners test.pdf,pdf,2022-07-25 12:37:13,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/1704365084/Gaborit-2022-How do general practitioners test.pdf,dropbox
76,Li-2022-Hypoxic stress disrupts HGF_Met signal.pdf,pdf,2023-01-04 11:49:23,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/0628966949/Li-2022-Hypoxic stress disrupts HGF_Met signal.pdf,dropbox
77,Dravecz-2022-Reduced Insulin Signaling Targete.pdf,pdf,2022-07-25 12:26:18,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/3692101153/Dravecz-2022-Reduced Insulin Signaling Targete.pdf,dropbox
78,Chan-2022-Clinical Assessment for Pulmonary Hy.pdf,pdf,2022-07-25 12:25:11,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/3264626266/Chan-2022-Clinical Assessment for Pulmonary Hy.pdf,dropbox
79,Liu-2020-Metformin suppresses proliferation an.pdf,pdf,2023-01-04 11:51:24,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/1534230296/Liu-2020-Metformin suppresses proliferation an.pdf,dropbox
80,Feng-2022-Network Pharmacology and Transcripto.pdf,pdf,2023-01-04 11:47:45,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/1859031535/Feng-2022-Network Pharmacology and Transcripto.pdf,dropbox
81,Lilje-2022-Interventional therapy of extracran.pdf,pdf,2022-07-25 12:40:05,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/2648102644/Lilje-2022-Interventional therapy of extracran.pdf,dropbox
82,Wang-2022-Pre-Conditioning with IFN-gamma and.pdf,pdf,2023-01-04 11:48:28,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/2671788800/Wang-2022-Pre-Conditioning with IFN-gamma and.pdf,dropbox
83,Wu-2022-Histone Deacetylase Inhibitor Panobino.pdf,pdf,2023-01-04 11:46:32,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/1369602725/Wu-2022-Histone Deacetylase Inhibitor Panobino.pdf,dropbox
84,Kato-2018-Pulmonary pericytes regulate lung mo.pdf,pdf,2023-01-04 11:51:27,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/3770864242/Kato-2018-Pulmonary pericytes regulate lung mo.pdf,dropbox
85,Zhang-2022-HGF-mediated elevation of ETV1 faci.pdf,pdf,2023-01-04 11:46:24,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/2648102643/Zhang-2022-HGF-mediated elevation of ETV1 faci.pdf,dropbox
86,Neto-2022-Comparison of Inlay Cartilage Butter.pdf,pdf,2022-07-25 12:47:15,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/2542762855/Neto-2022-Comparison of Inlay Cartilage Butter.pdf,dropbox
87,Wilairatana-2021-Prevalence and characteristic.pdf,pdf,2023-01-04 11:21:21,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/1713258269/Wilairatana-2021-Prevalence and characteristic.pdf,dropbox
88,Harper-2022-Endogenous Pancreatic Cancer Cell.pdf,pdf,2023-01-04 11:42:28,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/2383132804/Harper-2022-Endogenous Pancreatic Cancer Cell.pdf,dropbox
89,Kumar-2021-Spontaneous regression of a vein of.pdf,pdf,2022-07-25 12:39:53,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/0389040743/Kumar-2021-Spontaneous regression of a vein of.pdf,dropbox
90,Liu-2022-Identification and validation of cupr.pdf,pdf,2023-01-12 17:10:42,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/1129566410/Liu-2022-Identification and validation of cupr.pdf,dropbox
91,Leelapatana-2022-Association between oral heal.pdf,pdf,2022-07-25 12:39:59,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/4089174008/Leelapatana-2022-Association between oral heal.pdf,dropbox
92,Wei-2022-The Anti-Photoaging Activity of Pepti.pdf,pdf,2023-01-04 11:46:37,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/2711809225/Wei-2022-The Anti-Photoaging Activity of Pepti.pdf,dropbox
93,Vasankari-2022-Objectively measured preoperati.pdf,pdf,2022-07-25 12:51:08,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/2576387330/Vasankari-2022-Objectively measured preoperati.pdf,dropbox
94,Huang-2022-Preoperative prediction of intrahep.pdf,pdf,2023-01-04 11:42:21,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/0552910252/Huang-2022-Preoperative prediction of intrahep.pdf,dropbox
95,Zhou-2021-Whole Exome Sequencing Study in a Fa.pdf,pdf,2023-01-04 11:37:43,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/1431419378/Zhou-2021-Whole Exome Sequencing Study in a Fa.pdf,dropbox
96,Shoveller-2022-Methionine and cysteine oxidati.pdf,pdf,2023-01-04 11:46:58,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/1251300605/Shoveller-2022-Methionine and cysteine oxidati.pdf,dropbox
97,Ali-2022-The Outcome of Fatherhood in Patients.pdf,pdf,2022-07-25 12:23:25,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/0304089172/Ali-2022-The Outcome of Fatherhood in Patients.pdf,dropbox
98,Jia-2022-Human TRUB1 is a highly conserved pse.pdf,pdf,2023-01-04 11:20:59,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/3616831741/Jia-2022-Human TRUB1 is a highly conserved pse.pdf,dropbox
99,Duan-2022-The Efficacy of Twin-Block Appliance.pdf,pdf,2022-07-25 12:26:29,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/3080593845/Duan-2022-The Efficacy of Twin-Block Appliance.pdf,dropbox
100,Fan-2022-Efficacy and Safety of Qinpi Tongfeng.pdf,pdf,2022-07-25 12:27:10,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/1402586708/Fan-2022-Efficacy and Safety of Qinpi Tongfeng.pdf,dropbox
101,"2021-Notice of Concern_ Kawas LH, McCoy AT, Ya.pdf",pdf,2022-07-25 15:35:49,"/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/2305619752/2021-Notice of Concern_ Kawas LH, McCoy AT, Ya.pdf",dropbox
102,Cho-2022-PIK3CA Mutation as Potential Poor Pro.pdf,pdf,2023-01-04 11:21:07,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/2511712091/Cho-2022-PIK3CA Mutation as Potential Poor Pro.pdf,dropbox
103,Yoo-2022-Postoperative Adjuvant Chemoradiother.pdf,pdf,2022-07-25 12:52:12,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/0620089368/Yoo-2022-Postoperative Adjuvant Chemoradiother.pdf,dropbox
104,Yan-2022-Antagonization of Ghrelin Suppresses.pdf,pdf,2023-01-04 11:46:27,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/2009726311/Yan-2022-Antagonization of Ghrelin Suppresses.pdf,dropbox
105,Lu-2022-Development and validation of a nomogr.pdf,pdf,2022-07-25 12:40:39,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/1505193512/Lu-2022-Development and validation of a nomogr.pdf,dropbox
106,Yu-2022-Application and Effect Evaluation of N.pdf,pdf,2022-07-25 12:52:10,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/2777064600/Yu-2022-Application and Effect Evaluation of N.pdf,dropbox
107,Tung-2022-The Effects of Learning Transfer on.pdf,pdf,2022-07-25 12:50:55,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/3770864243/Tung-2022-The Effects of Learning Transfer on.pdf,dropbox
108,Hirvonen-2022-Heme Oxygenase-1 and Blood Bilir.pdf,pdf,2023-01-04 11:47:48,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/2542762854/Hirvonen-2022-Heme Oxygenase-1 and Blood Bilir.pdf,dropbox
109,Tarigan-2022-Diagnostic accuracy of palpation.pdf,pdf,2022-07-25 12:50:50,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/1534230297/Tarigan-2022-Diagnostic accuracy of palpation.pdf,dropbox
110,Mantripragada-2022-Transbrachial Access Site C.pdf,pdf,2022-07-25 12:41:41,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/1336092622/Mantripragada-2022-Transbrachial Access Site C.pdf,dropbox
111,Ji-2022-Metformin and the risk of dementia bas.pdf,pdf,2022-07-25 12:38:31,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/0653448036/Ji-2022-Metformin and the risk of dementia bas.pdf,dropbox
112,Zhou-2021-LncRNA SNHG4 promotes malignant biol.pdf,pdf,2022-07-25 18:02:48,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/1840019304/Zhou-2021-LncRNA SNHG4 promotes malignant biol.pdf,dropbox
113,Baath-2021-MET Expression and Cancer Stem Cell.pdf,pdf,2022-07-25 18:01:52,/Users/hazmini/Dropbox/Mac/Documents/Endnote/MET.Data/PDF/0213213171/Baath-2021-MET Expression and Cancer Stem Cell.pdf,dropbox
